taskset_id,analysis_variant,task_count,mean_absolute_gap,max_absolute_gap,mean_normalized_gap,mean_ratio,exact_equality_count
v93-131fd46ea7-t00000-b9ce38c4b1cc,CW_THETA_CW,7,2.2857142857142856,8.0,0.5068027210884354,1.5068027210884354,4
v93-131fd46ea7-t00000-b9ce38c4b1cc,LOC_THETA_LOC,7,2.2857142857142856,8.0,0.5068027210884354,1.5068027210884354,4
v93-cd19d17b28-t00000-a5ba4f306431,CW_THETA_CW,5,0.4,2.0,0.02222222222222222,1.0222222222222221,4
v93-cd19d17b28-t00000-a5ba4f306431,LOC_THETA_LOC,5,0.4,2.0,0.02222222222222222,1.0222222222222221,4
