candidate_id,exact_e0,numerator,denominator,origins,covered_intervals,covered_tasksets,covered_tasks,covered_relations,covered_variants,covered_U_0_4_intervals,covered_U_0_4_tasksets,covered_U_0_6_intervals,covered_U_0_6_tasksets,representation_cost,minimum_distance_to_selected,selected,selection_rank
E0C00035,10726874713500000729/1000000000000000000000,10726874713500000729,1000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,7,1,1,1,2,0,0,7,1,42,,False,
E0C00036,10726874727000000733/1000000000000000000000,10726874727000000733,1000000000000000000000,INTERVAL_MIDPOINT,7,1,1,1,2,0,0,7,1,42,,False,
E0C00037,2196412437600000151/200000000000000000000,2196412437600000151,200000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,6,1,1,1,2,0,0,6,1,40,,False,
E0C00038,5618624835750000391/500000000000000000000,5618624835750000391,500000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,7,1,1,1,2,0,0,7,1,40,,False,
E0C00039,1404656210625000099/125000000000000000000,1404656210625000099,125000000000000000000,INTERVAL_MIDPOINT,7,1,1,1,2,0,0,7,1,40,,False,
E0C00040,22485749718000000689/2000000000000000000000,22485749718000000689,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,6,1,1,1,2,0,0,6,1,42,,False,
E0C00041,5728031221500000091/500000000000000000000,5728031221500000091,500000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,8,2,3,2,4,2,1,6,1,40,,False,
E0C00042,4628249966400000033/400000000000000000000,4628249966400000033,400000000000000000000,INTERVAL_MIDPOINT,8,2,3,2,4,2,1,6,1,40,,False,
E0C00043,11705624728500000647/1000000000000000000000,11705624728500000647,1000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,9,3,4,2,4,2,1,6,1,42,,False,
E0C00044,939809970120000067/80000000000000000000,939809970120000067,80000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,10,3,4,2,4,2,1,7,1,38,,False,
E0C00045,2349524928000000169/200000000000000000000,2349524928000000169,200000000000000000000,INTERVAL_MIDPOINT,10,3,4,2,4,2,1,7,1,40,,False,
E0C00046,1182356234100000037/100000000000000000000,1182356234100000037,100000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,9,3,4,2,4,2,1,6,1,40,,False,
E0C00047,11988562404000000089/1000000000000000000000,11988562404000000089,1000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,7,2,2,2,4,0,0,6,1,42,,False,
E0C00048,11992499970000000239/1000000000000000000000,11992499970000000239,1000000000000000000000,INTERVAL_MIDPOINT,7,2,2,2,4,0,0,6,1,42,,False,
E0C00049,1520976520125000073/125000000000000000000,1520976520125000073,125000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,9,3,4,2,4,2,1,6,1,40,,False,
E0C00050,6128999789250000447/500000000000000000000,6128999789250000447,500000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,10,3,4,2,4,2,1,7,1,40,,False,
E0C00051,12257999592000000893/1000000000000000000000,12257999592000000893,1000000000000000000000,INTERVAL_MIDPOINT,10,3,4,2,4,2,1,7,1,42,,False,
E0C00052,24579374697000000917/2000000000000000000000,24579374697000000917,2000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,9,3,4,2,4,2,1,6,1,42,,False,
E0C00053,12541499670000000663/1000000000000000000000,12541499670000000663,1000000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,8,2,3,2,4,2,1,6,1,42,,False,
E0C00054,12731999892000000093/1000000000000000000000,12731999892000000093,1000000000000000000000,INTERVAL_MIDPOINT,8,2,3,2,4,2,1,6,1,42,,False,
E0C00055,1596046815937500119/125000000000000000000,1596046815937500119,125000000000000000000,ADJACENT_ENDPOINT_REPRESENTATIVE,9,2,3,2,4,2,1,7,1,40,,False,
E0C00056,2553674908200000189/200000000000000000000,2553674908200000189,200000000000000000000,INTERVAL_MIDPOINT,9,2,3,2,4,2,1,7,1,40,,False,
