phase,structure,cell_id,U_norm,taskset_id,relation,task_id,priority_rank,complete_candidate,local_candidate,improvement,status,envelope_common_count,envelope_strict_count,envelope_equal_count,envelope_violation_count,local_only_closure_count,q_plus_h_equals_w_count
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t00-8fbbf2379a1a,RECURSIVE_CARRY_IN,8,8,45,45,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t00-8fbbf2379a1a,RECURSIVE_CARRY_IN,9,9,84,84,0,EQUAL,0,0,0,0,0,0
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,DEADLINE_CARRY_IN,0,0,7,7,0,EQUAL,7,0,7,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,DEADLINE_CARRY_IN,1,1,2,2,0,EQUAL,2,0,2,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,DEADLINE_CARRY_IN,2,2,3,3,0,EQUAL,3,0,3,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,DEADLINE_CARRY_IN,3,3,28,28,0,EQUAL,28,0,28,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,DEADLINE_CARRY_IN,4,4,43,43,0,EQUAL,43,0,43,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,DEADLINE_CARRY_IN,5,5,62,62,0,EQUAL,62,41,21,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,DEADLINE_CARRY_IN,6,6,41,41,0,EQUAL,41,0,41,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,DEADLINE_CARRY_IN,7,7,67,67,0,EQUAL,67,41,26,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,DEADLINE_CARRY_IN,8,8,73,73,0,EQUAL,73,41,32,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,DEADLINE_CARRY_IN,9,9,122,122,0,EQUAL,122,107,15,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,FIXED_CW_CARRY_IN,0,0,7,7,0,EQUAL,7,0,7,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,FIXED_CW_CARRY_IN,1,1,2,2,0,EQUAL,2,0,2,0,0,1
SCREENING,S1,S1-U0.4,0.4,v93-p2-screening-s1-u0-t01-7b402c164241,FIXED_CW_CARRY_IN,2,2,3,3,0,EQUAL,3,0,3,0,0,1
