phase,analysis_id,request_id,cell_id,taskset_id,taskset_hash,generation_seed,M,task_n,utilization,exact_e0,deadline_mode,analysis_variant,method_role,solver_status,certification_status,taskset_proven,first_failed_priority,n_tasks_total,n_tasks_evaluated,n_tasks_candidate_found,n_tasks_certified,source_analysis_id,source_vector_hash,target_carry_in_vector_hash,dependency_check_status,fixed_carry_in_interface_status,dominance_invariant_status,dominance_violation_count,diagnostic_mode,final_attempt_id,attempt_count,timeout_budget_seconds,runtime_wall_seconds,runtime_cpu_seconds,worker_startup_seconds,serialization_seconds,ipc_seconds,outer_timeout,terminal_origin
A,6ba26f27ab50ba79a52ee6d0143bc6549f79c9e324c44c89cf44e899c168d6ad,9c11446c2acafc860693fbe8ec60dd7823461b6695028853909e9eb7f0f045ce,8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,40bc3958eb59dc0aeaabae0f50aa10dff23cd7be35516f731b30d0322d55276c,959759777,4,10,1/5,1,constrained,LOC_THETA_CW,AUXILIARY_ABLATION,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,a2c195df55bf87a3bd9f0241492ce78ac2b13849bc60cb406c4cda650ab803d4,251bccd3fd642a77d5e558685cc90f575430d7bd964b63896e0b71411b1c4a85,251bccd3fd642a77d5e558685cc90f575430d7bd964b63896e0b71411b1c4a85,VALID,ACTIVE,SATISFIED,0,False,7233acc5423e5a38cf3a7646b1304107422842dabd99c573b4fae2e6b8d101af,1,30.0,0.815659548,0.708598647,0.085491832,0.000693347,0.012405019,False,PRODUCTION_ANALYZER
A,6cdd640a6877e23829c39f6f6f9b7be9a0c9504060b119b5a5b1cfb4e413634d,dc63641847adeed5c0fb339a4abf2f69cee0219cbe1a1b4720500c61814d1fce,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,40bc3958eb59dc0aeaabae0f50aa10dff23cd7be35516f731b30d0322d55276c,959759777,4,10,1/5,21473099401200000281/200000000000000000000,constrained,LOC_D,AUXILIARY_ABLATION,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,,97e1f971e4d935818a495937e0dd95b4b23caa61b8743614fd745dc7e7c1ae55,,NOT_CHECKED,ACTIVE,NOT_APPLICABLE,0,False,9f6e2d3931fa47e4e421de98f9c453a50134b7f176dddffb03be480d6eaf531c,1,30.0,0.934843553,0.830789540,0.089145862,0.000650526,0.012168047,False,PRODUCTION_ANALYZER
A,874fe49926a145b15962c295c44580c5d194a0ad73b4edf9680138ccac036462,3a8eb2f9d1a5c1b38cbf4d6f3a08c06cdcef33e128dbbc34c4dbb7d635a59dc5,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,v93-cfffce69e8-t00000-3b4a9aaf332f,3b4a9aaf332f0a0c9187a7271e82507b78ba4e559cf821a55eff509734c6146d,453664908,4,10,3/10,21473099401200000281/200000000000000000000,constrained,LOC_D,AUXILIARY_ABLATION,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,,f4679812edc7157f9e64d7761c3902f98660a402b04b88b34ea903f4bfd8f8c6,,NOT_CHECKED,ACTIVE,NOT_APPLICABLE,0,False,d306f49aec4d6eea3e87ceb8a7175266444a5113389c798e9c4e27dd7c559cdf,1,30.0,4.024948860,3.918136497,0.086580802,0.000800360,0.011924948,False,PRODUCTION_ANALYZER
A,94ea7588de445cc8c818d85ea1de60e7bf0e531aa2394e630e3111481fceaab3,2c1be7ab96e42479fde51ac87ade021dbaf451ac39f4c0c1bbb710fdf43c5b82,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,v93-cfffce69e8-t00000-3b4a9aaf332f,3b4a9aaf332f0a0c9187a7271e82507b78ba4e559cf821a55eff509734c6146d,453664908,4,10,3/10,21473099401200000281/200000000000000000000,constrained,CW_D,AUXILIARY_ABLATION,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,,f4679812edc7157f9e64d7761c3902f98660a402b04b88b34ea903f4bfd8f8c6,,NOT_CHECKED,ACTIVE,NOT_APPLICABLE,0,False,c98d82cd45140baf771e8fa827b262dd9601724d8d6295ec4070a0f87934ee42,1,30.0,5.290601179,5.191032444,0.085188898,0.000714387,0.010979369,False,PRODUCTION_ANALYZER
A,a2c195df55bf87a3bd9f0241492ce78ac2b13849bc60cb406c4cda650ab803d4,f1b2a1ba891d5c23d64b832df635d9013c6a0c2b65c6b06c58ddc1129c07b5aa,8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,40bc3958eb59dc0aeaabae0f50aa10dff23cd7be35516f731b30d0322d55276c,959759777,4,10,1/5,1,constrained,CW_THETA_CW,MAIN_METHOD,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,,,,NOT_CHECKED,NOT_APPLICABLE,NOT_APPLICABLE,0,False,87aed03b00176dcae75dc6ae9b0af966d8206b804b8e3aea2d46191022fcd3e7,1,30.0,0.830354237,0.730067174,0.087121486,0.000429325,0.010100571,False,PRODUCTION_ANALYZER
A,b4b24acc093b369f02f2396c35b8e99c134bd11b6d0d10ab6f3863801aac0925,93d17d4f7e611f6b290abe4321df72c9b017a0c2fb6eba9529be941ad4a6c01e,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,40bc3958eb59dc0aeaabae0f50aa10dff23cd7be35516f731b30d0322d55276c,959759777,4,10,1/5,21473099401200000281/200000000000000000000,constrained,LOC_THETA_CW,AUXILIARY_ABLATION,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,03d9687c32aff1d31821d55385bb6a3d286f1791b91c4a3eed9076e9416b0c79,251bccd3fd642a77d5e558685cc90f575430d7bd964b63896e0b71411b1c4a85,251bccd3fd642a77d5e558685cc90f575430d7bd964b63896e0b71411b1c4a85,VALID,ACTIVE,SATISFIED,0,False,6b8f5ddaf0ea2cc5ca3cd0854566cd51a18746efbbb1a25225b1eb5ae2afff79,1,30.0,0.812172665,0.711226808,0.088429622,0.000709999,0.009420087,False,PRODUCTION_ANALYZER
A,b9975cccfa9ed9f99d6704f733507927ae818def548e98f3883d27f73c5163f6,b0d6e6d086da21ad2ba39293cc312fe9cbaa1a24a17748eb4f3e59d838b30ebd,be79120f9a03c21892afc0f91577f9e07ed46f2b9687b9665e9e9e032b3cbf4d,v93-5ae59c98f2-t00000-20b67e1aa38f,20b67e1aa38f71b9f11f41e0c07cf76ac1f94e324e7a2bfb1335618548ce03a5,11215736,4,10,2/5,1,constrained,LOC_THETA_LOC,MAIN_METHOD,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,d728e68195a17aea615264045aa89e527fc2469f56f5ae66125a6ebbcdd668f9,,,NOT_CHECKED,NOT_APPLICABLE,NOT_APPLICABLE,0,False,63383759c773d1c019425c48e89c297e7be3471c53189eb25e62edddb975fdd7,1,30.0,7.848368128,7.743158355,0.087045198,0.000455806,0.009913878,False,PRODUCTION_ANALYZER
A,bf1fc7dc6999a04ab0c40c2d3416f490559a67f2daaed46b349c480eb39fe560,f473ffe40e3ed1dbfaaaebe07833b7c8a3ec67cd9e76b1baf976d71ea3fc3a63,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,v93-cfffce69e8-t00000-3b4a9aaf332f,3b4a9aaf332f0a0c9187a7271e82507b78ba4e559cf821a55eff509734c6146d,453664908,4,10,3/10,21473099401200000281/200000000000000000000,constrained,CW_THETA_CW,MAIN_METHOD,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,,,,NOT_CHECKED,NOT_APPLICABLE,NOT_APPLICABLE,0,False,ba3219d0bda24883045dd9530db5042b147234b13d775b3697c43b0c89ef6658,1,30.0,3.132498527,3.026541246,0.089650952,0.000752539,0.013317853,False,PRODUCTION_ANALYZER
A,cef079fdc7ecc5e15d02c1ba1870e6f971620d6e933761d56e946b0cf4ea43f9,feb43513dd04658cb67f1a637b7a4d4196b3909ce21009b673bbd1b61b603206,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,v93-cfffce69e8-t00000-3b4a9aaf332f,3b4a9aaf332f0a0c9187a7271e82507b78ba4e559cf821a55eff509734c6146d,453664908,4,10,3/10,21473099401200000281/200000000000000000000,constrained,LOC_THETA_CW,AUXILIARY_ABLATION,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,bf1fc7dc6999a04ab0c40c2d3416f490559a67f2daaed46b349c480eb39fe560,64167ecfec72444bf6b005114804044f37fd75338af123c7d84bcfe9b5adcd0e,64167ecfec72444bf6b005114804044f37fd75338af123c7d84bcfe9b5adcd0e,VALID,ACTIVE,SATISFIED,0,False,0261d6d27403b7cf42d2b2cc40740109ef39fb4e1edf82fa5d402ab92ff9be32,1,30.0,3.264190198,3.141517839,0.106537974,0.000628263,0.013155248,False,PRODUCTION_ANALYZER
A,d03a0e1fa98a20fc2451821ff1d3fbf942eadb4371b64b22ffc8c04f5a6a0998,067fe1489b0107ce838f9f20929efca2960ec0d75be8b050086229f321e7e1ea,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,40bc3958eb59dc0aeaabae0f50aa10dff23cd7be35516f731b30d0322d55276c,959759777,4,10,1/5,21473099401200000281/200000000000000000000,constrained,CW_D,AUXILIARY_ABLATION,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,,97e1f971e4d935818a495937e0dd95b4b23caa61b8743614fd745dc7e7c1ae55,,NOT_CHECKED,ACTIVE,NOT_APPLICABLE,0,False,0df13df537655b7622e77d98c3b505d9309cd4e3f3bfe7477b2e557a253b1a61,1,30.0,0.920958871,0.820387335,0.086960798,0.000739535,0.010214090,False,PRODUCTION_ANALYZER
