total_instances,failed_instances,preemptions,busy_time,energy_sum,overhead_proxy,failure_rate,avg_execution_time,total_idle_time,avg_energy_level,algorithm,battery_capacity
1955.2333333333333,1874.0,60.766666666666666,1873.7666666666667,58.09887091666715,4.107166666666666,0.9585488626088968,0.9753213366010284,38126.23333333333,0.013976926421372354,gpfp_tie,1.0
1955.2333333333333,1729.1333333333334,177.16666666666666,5635.866666666667,524.9423622500441,4.5183,0.8848601038800599,2.9332168572388175,34364.13333333333,0.11336637945894841,gpfp_tie,3.0
1955.2333333333333,1584.4333333333334,294.1666666666667,9397.566666666668,1458.9378023502106,4.930600000000001,0.8112497113206713,4.890728107935698,30602.433333333334,0.2865089268015557,gpfp_tie,5.0
1955.2333333333333,1227.5333333333333,582.6333333333333,18707.766666666666,5838.248450567114,5.949833333333332,0.6293543265695433,9.743381482419466,21292.233333333334,0.9416521669007611,gpfp_tie,10.0
1955.2333333333333,945.4,808.5666666666667,26048.3,12830.19256671618,6.747766666666667,0.48367843849364994,13.61360502788546,13951.7,1.8380788659761982,gpfp_tie,15.0
1955.2333333333333,551.2333333333333,1120.3333333333333,35934.0,32358.227534567206,7.846866666666667,0.2835364764347357,18.729407003345006,4066.0,4.083818647006942,gpfp_tie,25.0
1955.2333333333333,399.46666666666664,1240.0333333333333,39745.566666666666,68504.81228598338,8.272033333333333,0.2074368110778371,20.684954314945855,254.43333333333334,8.28930972603265,gpfp_tie,40.0
1955.2333333333333,394.2,1244.0,39873.666666666664,118203.89866600017,8.2861,0.20464430489190566,20.75287584198721,126.33333333333333,14.277320207512613,gpfp_tie,60.0
2028.2272727272727,1940.0,66.0,1931.6818181818182,62.76503386362986,4.270863636363637,0.9567883117133736,0.9568200017676491,38068.318181818184,0.014409726253783894,gpfp_tgf,1.0
1949.56,1702.48,196.92,6220.52,579.5323823200309,4.575,0.8739339694983264,3.24869743574655,33779.48,0.1236505794263612,gpfp_tgf,3.0
2000.904761904762,1620.5238095238096,300.04761904761904,9271.380952380952,1480.935459405028,5.039619047619049,0.8112410803261787,4.706781497174551,30728.619047619046,0.2850097774345669,gpfp_tgf,5.0
1972.7391304347825,1178.304347826087,632.8695652173913,20068.347826086956,6385.288825652534,6.168173913043479,0.6009350566781132,10.312214993438523,19931.652173913044,0.986134465945003,gpfp_tgf,10.0
1992.6363636363637,888.8181818181819,897.3636363636364,28365.863636363636,14465.237887681484,7.124545454545455,0.4428896862038725,14.668758741659405,11634.136363636364,1.9731954600922845,gpfp_tgf,15.0
1931.6363636363637,497.54545454545456,1148.0,37464.454545454544,35295.599314932144,7.902727272727272,0.26001622347097697,19.697388698656564,2535.5454545454545,4.4204522147766605,gpfp_tgf,25.0
1955.2333333333333,397.73333333333335,1241.3333333333333,39787.333333333336,69451.58275140001,8.276566666666666,0.20651775840904954,20.707099949445674,212.66666666666666,8.398957932378245,gpfp_tgf,40.0
1955.2333333333333,394.2,1244.0,39873.666666666664,119160.78106466653,8.286100000000001,0.20464430489190566,20.75287584198721,126.33333333333333,14.391248878319358,gpfp_tgf,60.0
1955.2333333333333,1862.4666666666667,28.9,1860.2666666666667,54.218971783333345,4.042433333333333,0.9525219470641708,0.9706177538779006,38139.73333333333,0.013343117768165646,gpfp_btie,1.0
1955.2333333333333,1686.8,60.2,5511.9,475.91948873333337,4.280899999999999,0.8628529097869742,2.876164526410254,34488.1,0.10953124304758431,gpfp_btie,3.0
1955.2333333333333,1509.3333333333333,89.0,9172.5,1320.2968245499999,4.516233333333333,0.7722999685561105,4.785601472578103,30827.5,0.28595828000768875,gpfp_btie,5.0
1955.2333333333333,1119.9666666666667,156.0,17230.933333333334,5208.755979216668,5.0413333333333314,0.572167106794913,9.020238100971612,22769.066666666666,1.0075225785937543,gpfp_btie,10.0
1955.2333333333333,858.3,201.76666666666668,22459.1,11007.235314083342,5.396166666666665,0.43949603913495444,11.719207099076693,17540.9,2.0153424646108844,gpfp_btie,15.0
1955.2333333333333,513.1,251.66666666666666,29166.533333333333,26327.763974716654,5.845166666666666,0.2643860629736579,15.191115571820939,10833.466666666667,4.521519842563151,gpfp_btie,25.0
1955.2333333333333,454.93333333333334,258.8666666666667,30331.733333333334,52793.180868666685,5.920366666666665,0.23501697593527107,15.78572632235531,9668.266666666666,8.95149282889456,gpfp_btie,40.0
1955.2333333333333,454.93333333333334,258.8666666666667,30331.733333333334,88315.38029533335,5.9203666666666654,0.23501697593527104,15.78572632235531,9668.266666666666,14.951492728750265,gpfp_btie,60.0
