taskset_hash,analysis_variant,left_worker_count,right_worker_count,left_analysis_id,right_analysis_id,status,detail
4d61ae06afb25154acd8767fa3ea465d1b6e62d1c672d736b11a21d3a5d93919,CW_THETA_CW,1,2,ea390f27ba3d67d225a11ee6db184925894914c2ebcd26a308343995d159c86b,09b1377305929e66ad0ae2187b4ae59a252d6733a8b548d82720bf1158e4a113,SEMANTICALLY_EQUAL,
4d61ae06afb25154acd8767fa3ea465d1b6e62d1c672d736b11a21d3a5d93919,LOC_THETA_LOC,1,2,6b496d608d242a7666774239e2a79f8de3e923c7f8a064dff96adfce4d6e668c,a6e89183574fe8bde8b2fd2c1a087037f38cb36ba802ebd87130c3b110c922c7,SEMANTICALLY_EQUAL,
