cell_id,taskset_id,exact_e0,relation,left_variant,right_variant,task_id,priority_rank,left_candidate,right_candidate,reduction,status
8dd831d58fd27263ba6ae353d50eaa0ec041e086707bff777e30079cdaa6f4e7,v93-9c4084da74-t00000-4d61ae06afb2,0,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,0,0,4,4,0,EQUAL
8dd831d58fd27263ba6ae353d50eaa0ec041e086707bff777e30079cdaa6f4e7,v93-9c4084da74-t00000-4d61ae06afb2,0,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,1,1,11,11,0,EQUAL
8dd831d58fd27263ba6ae353d50eaa0ec041e086707bff777e30079cdaa6f4e7,v93-9c4084da74-t00000-4d61ae06afb2,0,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,2,2,9,9,0,EQUAL
8dd831d58fd27263ba6ae353d50eaa0ec041e086707bff777e30079cdaa6f4e7,v93-9c4084da74-t00000-4d61ae06afb2,0,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,3,3,11,11,0,EQUAL
8dd831d58fd27263ba6ae353d50eaa0ec041e086707bff777e30079cdaa6f4e7,v93-9c4084da74-t00000-4d61ae06afb2,0,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,4,4,15,15,0,EQUAL
8dd831d58fd27263ba6ae353d50eaa0ec041e086707bff777e30079cdaa6f4e7,v93-9c4084da74-t00000-4d61ae06afb2,0,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,5,5,27,27,0,EQUAL
