scalability_cell_id,scaling_axis,level_id,worker_count,analysis_id,analysis_variant,event_observed,censoring_status,observed_time_seconds,timeout_budget_seconds,right_censored_lower_bound_seconds
5d93bc0f349ecfa595bb63f4e36939d13862250fe21bcca60e903d57814df12f,task_count,6,1,a0f2a300b6b06345f91f88ae5f1f7dc674b11980c005b359d4cabbcb8d9c3103,CW_THETA_CW,True,COMPLETED_EVENT,0.131973360,4.0,
5d93bc0f349ecfa595bb63f4e36939d13862250fe21bcca60e903d57814df12f,task_count,6,1,f78bab905d3418b01ed6f46af89e325d88ca82d9c7e633b30132ec4083fad7f3,LOC_THETA_LOC,True,COMPLETED_EVENT,0.129424386,4.0,
bf898b0957e4c789200ab65cac7c16b63dbcc37841c674717bcd9b0e159012b4,task_count,10,1,07bf6377b3b29c3ffa520b9ab752f74b2d5bf44ee875690744cbd723c718e1d2,LOC_THETA_LOC,True,COMPLETED_EVENT,0.136235159,4.0,
bf898b0957e4c789200ab65cac7c16b63dbcc37841c674717bcd9b0e159012b4,task_count,10,1,dd8f86a91ff7dcc7cc91bdb4747167cb85728dae1906c757165bf75b4f631ff8,CW_THETA_CW,True,COMPLETED_EVENT,0.132864530,4.0,
