scalability_cell_id,scaling_axis,level_index,level_id,level_value,M,task_n,period_min,period_max,utilization,worker_count,variants,tasksets_requested,analysis_ids_json,cell_wall_seconds,terminal_analysis_count,throughput_analyses_per_second
5d93bc0f349ecfa595bb63f4e36939d13862250fe21bcca60e903d57814df12f,task_count,0,6,6,2,6,40,200,1/5,1,"[""CW_THETA_CW"",""LOC_THETA_LOC""]",1,"[""a0f2a300b6b06345f91f88ae5f1f7dc674b11980c005b359d4cabbcb8d9c3103"",""f78bab905d3418b01ed6f46af89e325d88ca82d9c7e633b30132ec4083fad7f3""]",1.380672510,2,1.4485694366890893
bf898b0957e4c789200ab65cac7c16b63dbcc37841c674717bcd9b0e159012b4,task_count,1,10,10,2,10,40,200,1/5,1,"[""CW_THETA_CW"",""LOC_THETA_LOC""]",1,"[""dd8f86a91ff7dcc7cc91bdb4747167cb85728dae1906c757165bf75b4f631ff8"",""07bf6377b3b29c3ffa520b9ab752f74b2d5bf44ee875690744cbd723c718e1d2""]",1.380356040,2,1.4489015456922005
