failure_rate,preemptions,avg_busy_period,avg_idle_period,avg_energy_level,overhead_proxy,algorithm,battery_capacity
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_tie,1.0
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_tie,3.0
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_tie,5.0
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_tie,10.0
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_tie,15.0
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_tie,25.0
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_tie,40.0
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_tie,60.0
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_tgf,1.0
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_tgf,3.0
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_tgf,5.0
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_tgf,10.0
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_tgf,15.0
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_tgf,25.0
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_tgf,40.0
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_tgf,60.0
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_btie,1.0
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_btie,3.0
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_btie,5.0
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_btie,10.0
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_btie,15.0
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_btie,25.0
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_btie,40.0
1.0,0.0,0.0,40000.0,0.0,3.219666666666667,gpfp_btie,60.0
