attempt_id,analysis_id,sample_id,method,attempt_number,timeout_budget_seconds,solver_status,runtime_seconds,recorded_at_utc
0a11ce9858d9ca3c870999705d07bca32a270c31c3c40c48969846c18949534b,a2ae23ac0778bee62977517a3921132e0ee4b65ab22ccdcdb829f46a0b322ff1,ext4-base-f2daaf1a2b93dbf086e3,CW_THETA_CW,1,2.0,COMPLETED,0.824427174,2026-07-13T18:38:42.908756Z
93aac0452ade37a1069239ea9a8749e5fde1930f0d6e959014ef599024eadc19,d69532638c7773f4bc8ecb6c6ee7efbd33f21759f5a0d1d29d852df287822529,ext4-base-f2daaf1a2b93dbf086e3,LOC_THETA_LOC,1,2.0,COMPLETED,0.823348681,2026-07-13T18:38:43.748041Z
ed32dc64d97906bc1b0328d57eaced453b7bc822914b15b7ab35eb46f4e83542,ce35546a7c0bd126821b1cdc0eb5c3d1523d587918c4385e46904b33ae69a421,ext4-deadline-8d7021d33c9574397b71,CW_THETA_CW,1,2.0,COMPLETED,0.747503130,2026-07-13T18:38:44.511520Z
59fc4a2ef6c2b70acf03e465c2b29d33ee2da356b2ed6558284bf0f58ca24b1c,21e8cfa2e3c419b06f5273768883c7c681470a626f742f5fa0649d47ef386a29,ext4-deadline-8d7021d33c9574397b71,LOC_THETA_LOC,1,2.0,COMPLETED,0.703281871,2026-07-13T18:38:45.230839Z
