sample_id,base_sample_id,derived_sample_id,cell_id,changed_axis,level,pairing_type,taskset_id,taskset_hash,before_canonical_input_hash,after_canonical_input_hash,priority_mapping_hash,generation_seed,canonical_path
ext4-base-f2daaf1a2b93dbf086e3,ext4-base-f2daaf1a2b93dbf086e3,ext4-base-f2daaf1a2b93dbf086e3,9b68be61c5b8afe8ff357d41a98751c2e2907975e756521dca958ff144512cde,baseline,implicit_default_range,BASELINE,v93-7505f60a86-t00000-f2daaf1a2b93,f2daaf1a2b93dbf086e347cbf3fe3fb9833c80c16fb7ef22803a344515713e3a,2943313ea6375844dd9ebb5720609e7ca81ae45434316a30b12b49db066530a7,2943313ea6375844dd9ebb5720609e7ca81ae45434316a30b12b49db066530a7,da17405796b53e79b72d0ff6bd91e3e2928eff2193ee09d22a6601514c5d64f8,557970157,artifacts/v9_3_unified_rehearsal/taskset_stores/ext4/service_7e8e637972aa0bd2/7505f60a86348521687e76521113c006cf8a7c1a8d7cb710e58a4d5d3b23b671/taskset_00000.json
ext4-deadline-8d7021d33c9574397b71,ext4-base-f2daaf1a2b93dbf086e3,ext4-deadline-8d7021d33c9574397b71,c4ca855977481c9b6d3b74a3ec006b8e629710cb98d924cd0d378ba2bd781831,deadline_mode,constrained,PAIRED_SINGLE_AXIS,ext4-deadline-8d7021d33c9574397b71,8d7021d33c9574397b7106a7f001c1a83fba8563f61f8a4ade83fd69cc403c7a,2943313ea6375844dd9ebb5720609e7ca81ae45434316a30b12b49db066530a7,8d7021d33c9574397b7106a7f001c1a83fba8563f61f8a4ade83fd69cc403c7a,da17405796b53e79b72d0ff6bd91e3e2928eff2193ee09d22a6601514c5d64f8,557970157,artifacts/v9_3_unified_rehearsal/ext4/derived_tasksets/ext4-deadline-8d7021d33c9574397b71.json
