base_sample_id,derived_sample_id,changed_axis,pairing_type,method,base_status,derived_status,base_proven,derived_proven,paired_gain_loss,base_simulation_status,derived_simulation_status
ext4-base-f2daaf1a2b93dbf086e3,ext4-deadline-8d7021d33c9574397b71,deadline_mode,PAIRED_SINGLE_AXIS,CW_THETA_CW,COMPLETED,COMPLETED,True,True,TIE,SIM_PASS_OBSERVED,SIM_PASS_OBSERVED
ext4-base-f2daaf1a2b93dbf086e3,ext4-deadline-8d7021d33c9574397b71,deadline_mode,PAIRED_SINGLE_AXIS,LOC_THETA_LOC,COMPLETED,COMPLETED,True,True,TIE,SIM_PASS_OBSERVED,SIM_PASS_OBSERVED
