plot,cell_id,taskset_id,utilization,exact_e0,variant,x,y,outcome
certification_ratio,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,1/5,0,CW_THETA_CW,1/5,1,COMPLETED
certification_ratio_e0,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,1/5,0,CW_THETA_CW,0.0,1,COMPLETED
runtime,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,1/5,0,CW_THETA_CW,1/5,0.683822366,COMPLETED
timeout_rate,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,1/5,0,CW_THETA_CW,1/5,0,COMPLETED
certification_ratio,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,1/5,0,LOC_THETA_LOC,1/5,1,COMPLETED
certification_ratio_e0,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,1/5,0,LOC_THETA_LOC,0.0,1,COMPLETED
runtime,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,1/5,0,LOC_THETA_LOC,1/5,0.696341670,COMPLETED
timeout_rate,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,1/5,0,LOC_THETA_LOC,1/5,0,COMPLETED
loc_vs_cw_scatter,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,,0,LOC_THETA_LOC,4,4,EQUAL
response_reduction_distribution,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,,0,LOC_THETA_LOC,0,1,EQUAL
loc_vs_cw_scatter,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,,0,LOC_THETA_LOC,3,3,EQUAL
response_reduction_distribution,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,,0,LOC_THETA_LOC,0,1,EQUAL
loc_vs_cw_scatter,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,,0,LOC_THETA_LOC,10,10,EQUAL
response_reduction_distribution,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,,0,LOC_THETA_LOC,0,1,EQUAL
loc_vs_cw_scatter,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,,0,LOC_THETA_LOC,10,10,EQUAL
response_reduction_distribution,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,,0,LOC_THETA_LOC,0,1,EQUAL
loc_vs_cw_scatter,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,,0,LOC_THETA_LOC,9,9,EQUAL
response_reduction_distribution,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,,0,LOC_THETA_LOC,0,1,EQUAL
loc_vs_cw_scatter,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,,0,LOC_THETA_LOC,12,12,EQUAL
response_reduction_distribution,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,,0,LOC_THETA_LOC,0,1,EQUAL
loc_vs_cw_scatter,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,,0,LOC_THETA_LOC,31,31,EQUAL
response_reduction_distribution,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,,0,LOC_THETA_LOC,0,1,EQUAL
loc_vs_cw_scatter,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,,0,LOC_THETA_LOC,13,13,EQUAL
response_reduction_distribution,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,,0,LOC_THETA_LOC,0,1,EQUAL
loc_vs_cw_scatter,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,,0,LOC_THETA_LOC,18,18,EQUAL
response_reduction_distribution,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,,0,LOC_THETA_LOC,0,1,EQUAL
loc_vs_cw_scatter,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,,0,LOC_THETA_LOC,31,31,EQUAL
response_reduction_distribution,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,,0,LOC_THETA_LOC,0,1,EQUAL
certification_outcome_matrix,4d3e657273d609d880d180fe41751e2dffcf981b498ee04f4e30ec89449ee193,v93-5b7dce0b03-t00000-2292118c3dc7,,0,LOC_THETA_LOC,1,1,11
