request_id,analysis_id,cell_id,taskset_id,taskset_hash,exact_e0,variant,numerical_mode,timeout_seconds,retry_timeout_seconds,source_analysis_id,request_status
d6fb84f003dc6e97fbd2fdeef9e40f4a536dcdbecb2f9881283b890e9db71a4b,2f19e161f2a0dc6c4dc133ee553ed78fa8fb1ae219f18b58a56bf9a5406aff11,8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,40bc3958eb59dc0aeaabae0f50aa10dff23cd7be35516f731b30d0322d55276c,1,CW_D,EXACT_RATIONAL,30,60,,TERMINAL
99a8e93189f7c4814c807dcdc0030e4995345b48278bf6218057c5819b26d911,4514de81356eb4c6570d55d92517d50212e74cd96aadc75cf441920dc24a78d9,8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,40bc3958eb59dc0aeaabae0f50aa10dff23cd7be35516f731b30d0322d55276c,1,LOC_D,EXACT_RATIONAL,30,60,,TERMINAL
f1b2a1ba891d5c23d64b832df635d9013c6a0c2b65c6b06c58ddc1129c07b5aa,a2c195df55bf87a3bd9f0241492ce78ac2b13849bc60cb406c4cda650ab803d4,8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,40bc3958eb59dc0aeaabae0f50aa10dff23cd7be35516f731b30d0322d55276c,1,CW_THETA_CW,EXACT_RATIONAL,30,60,,TERMINAL
9c11446c2acafc860693fbe8ec60dd7823461b6695028853909e9eb7f0f045ce,6ba26f27ab50ba79a52ee6d0143bc6549f79c9e324c44c89cf44e899c168d6ad,8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,40bc3958eb59dc0aeaabae0f50aa10dff23cd7be35516f731b30d0322d55276c,1,LOC_THETA_CW,EXACT_RATIONAL,30,60,a2c195df55bf87a3bd9f0241492ce78ac2b13849bc60cb406c4cda650ab803d4,TERMINAL
b8a8e26eb2907f482afaf525365f2a2196d2bbfd4fca56067130484102235520,d33f97142f2ede713ff4b43016e281b511ef67c83fec68dd79d23718ec92df87,8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,40bc3958eb59dc0aeaabae0f50aa10dff23cd7be35516f731b30d0322d55276c,1,LOC_THETA_LOC,EXACT_RATIONAL,30,60,,TERMINAL
067fe1489b0107ce838f9f20929efca2960ec0d75be8b050086229f321e7e1ea,d03a0e1fa98a20fc2451821ff1d3fbf942eadb4371b64b22ffc8c04f5a6a0998,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,40bc3958eb59dc0aeaabae0f50aa10dff23cd7be35516f731b30d0322d55276c,21473099401200000281/200000000000000000000,CW_D,EXACT_RATIONAL,30,60,,TERMINAL
dc63641847adeed5c0fb339a4abf2f69cee0219cbe1a1b4720500c61814d1fce,6cdd640a6877e23829c39f6f6f9b7be9a0c9504060b119b5a5b1cfb4e413634d,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,40bc3958eb59dc0aeaabae0f50aa10dff23cd7be35516f731b30d0322d55276c,21473099401200000281/200000000000000000000,LOC_D,EXACT_RATIONAL,30,60,,TERMINAL
32fc081a701161d630819aa2bd6a2bb8fb2816e64a7acd3b1b5d0ef0515cea65,03d9687c32aff1d31821d55385bb6a3d286f1791b91c4a3eed9076e9416b0c79,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,40bc3958eb59dc0aeaabae0f50aa10dff23cd7be35516f731b30d0322d55276c,21473099401200000281/200000000000000000000,CW_THETA_CW,EXACT_RATIONAL,30,60,,TERMINAL
93d17d4f7e611f6b290abe4321df72c9b017a0c2fb6eba9529be941ad4a6c01e,b4b24acc093b369f02f2396c35b8e99c134bd11b6d0d10ab6f3863801aac0925,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,40bc3958eb59dc0aeaabae0f50aa10dff23cd7be35516f731b30d0322d55276c,21473099401200000281/200000000000000000000,LOC_THETA_CW,EXACT_RATIONAL,30,60,03d9687c32aff1d31821d55385bb6a3d286f1791b91c4a3eed9076e9416b0c79,TERMINAL
d1fce70659af7ea964f864c72a503d9cdae3c9b3a1d00ae6bffff5834c28556a,4c17ae4935e6b9340c7575e32a89e5d927c31f6f228e667b03e879573480506e,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,40bc3958eb59dc0aeaabae0f50aa10dff23cd7be35516f731b30d0322d55276c,21473099401200000281/200000000000000000000,LOC_THETA_LOC,EXACT_RATIONAL,30,60,,TERMINAL
