analysis_id,cell_id,taskset_id,target_variant,source_analysis_id,source_variant,source_certified,dependency_check_status,source_taskset_hash,target_taskset_hash,source_e0,target_e0,source_numerical_mode,target_numerical_mode,source_vector_hash,target_vector_hash,applicable,fallback_used
6ba26f27ab50ba79a52ee6d0143bc6549f79c9e324c44c89cf44e899c168d6ad,8187934af1038eee5239539296793ea218b51edb974f3a12747786fb3d14e6ca,v93-21471487b7-t00000-40bc3958eb59,LOC_THETA_CW,a2c195df55bf87a3bd9f0241492ce78ac2b13849bc60cb406c4cda650ab803d4,CW_THETA_CW,True,VALID,40bc3958eb59dc0aeaabae0f50aa10dff23cd7be35516f731b30d0322d55276c,40bc3958eb59dc0aeaabae0f50aa10dff23cd7be35516f731b30d0322d55276c,1,1,EXACT_RATIONAL,EXACT_RATIONAL,251bccd3fd642a77d5e558685cc90f575430d7bd964b63896e0b71411b1c4a85,251bccd3fd642a77d5e558685cc90f575430d7bd964b63896e0b71411b1c4a85,True,False
b4b24acc093b369f02f2396c35b8e99c134bd11b6d0d10ab6f3863801aac0925,9a7a99219b098ab2b87160c619686912835b661e25f86d9dc71f9478ecbab9b2,v93-21471487b7-t00000-40bc3958eb59,LOC_THETA_CW,03d9687c32aff1d31821d55385bb6a3d286f1791b91c4a3eed9076e9416b0c79,CW_THETA_CW,True,VALID,40bc3958eb59dc0aeaabae0f50aa10dff23cd7be35516f731b30d0322d55276c,40bc3958eb59dc0aeaabae0f50aa10dff23cd7be35516f731b30d0322d55276c,21473099401200000281/200000000000000000000,21473099401200000281/200000000000000000000,EXACT_RATIONAL,EXACT_RATIONAL,251bccd3fd642a77d5e558685cc90f575430d7bd964b63896e0b71411b1c4a85,251bccd3fd642a77d5e558685cc90f575430d7bd964b63896e0b71411b1c4a85,True,False
291e282918924c1d95ac0a4820a17672d2355d560444ee3c459a8c1ec4e6ddc4,6c35ae1fbc861f44a6d0accc5bc399855f3693f6014fdfdacf821b2a2e743986,v93-cfffce69e8-t00000-3b4a9aaf332f,LOC_THETA_CW,e277c6acf469ee7438c676281c5c1dc8087a493bb2ddecf66fdb92c5fd3f91de,CW_THETA_CW,True,VALID,3b4a9aaf332f0a0c9187a7271e82507b78ba4e559cf821a55eff509734c6146d,3b4a9aaf332f0a0c9187a7271e82507b78ba4e559cf821a55eff509734c6146d,1,1,EXACT_RATIONAL,EXACT_RATIONAL,64167ecfec72444bf6b005114804044f37fd75338af123c7d84bcfe9b5adcd0e,64167ecfec72444bf6b005114804044f37fd75338af123c7d84bcfe9b5adcd0e,True,False
cef079fdc7ecc5e15d02c1ba1870e6f971620d6e933761d56e946b0cf4ea43f9,0fdf6d8e6f83a7f6db66488768af9ba99458aace827756a9756e2ec6824acfb4,v93-cfffce69e8-t00000-3b4a9aaf332f,LOC_THETA_CW,bf1fc7dc6999a04ab0c40c2d3416f490559a67f2daaed46b349c480eb39fe560,CW_THETA_CW,True,VALID,3b4a9aaf332f0a0c9187a7271e82507b78ba4e559cf821a55eff509734c6146d,3b4a9aaf332f0a0c9187a7271e82507b78ba4e559cf821a55eff509734c6146d,21473099401200000281/200000000000000000000,21473099401200000281/200000000000000000000,EXACT_RATIONAL,EXACT_RATIONAL,64167ecfec72444bf6b005114804044f37fd75338af123c7d84bcfe9b5adcd0e,64167ecfec72444bf6b005114804044f37fd75338af123c7d84bcfe9b5adcd0e,True,False
38fcc2a5ee269e9167d705bb4c4c21b7ec923a0f660478aeb45498a05e67540b,be79120f9a03c21892afc0f91577f9e07ed46f2b9687b9665e9e9e032b3cbf4d,v93-5ae59c98f2-t00000-20b67e1aa38f,LOC_THETA_CW,d728e68195a17aea615264045aa89e527fc2469f56f5ae66125a6ebbcdd668f9,CW_THETA_CW,True,VALID,20b67e1aa38f71b9f11f41e0c07cf76ac1f94e324e7a2bfb1335618548ce03a5,20b67e1aa38f71b9f11f41e0c07cf76ac1f94e324e7a2bfb1335618548ce03a5,1,1,EXACT_RATIONAL,EXACT_RATIONAL,74c9235091392ff048a01be7621c43f62ad665dd7590ef94a35702c477a70dec,74c9235091392ff048a01be7621c43f62ad665dd7590ef94a35702c477a70dec,True,False
3795bd5eecb4d3680706cf7635099b550c1f986fc2a55bee3092f1f5edfe4284,d7b5eed4292dabab90ad067822a4289831395dee070079e96dd145f1f9a4c544,v93-5ae59c98f2-t00000-20b67e1aa38f,LOC_THETA_CW,3a15ae69dfae879cc0eeebd9f27fabcf7caf31a075daa2d6e56fb5bed0db5867,CW_THETA_CW,True,VALID,20b67e1aa38f71b9f11f41e0c07cf76ac1f94e324e7a2bfb1335618548ce03a5,20b67e1aa38f71b9f11f41e0c07cf76ac1f94e324e7a2bfb1335618548ce03a5,21473099401200000281/200000000000000000000,21473099401200000281/200000000000000000000,EXACT_RATIONAL,EXACT_RATIONAL,74c9235091392ff048a01be7621c43f62ad665dd7590ef94a35702c477a70dec,74c9235091392ff048a01be7621c43f62ad665dd7590ef94a35702c477a70dec,True,False
