plot,scheduler_id,trace_id,trace_scale,request_id,category,x,y
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,13,20.0073
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,13,20.0073
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,13,20.006400000000003
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,17,20.0038
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,17,20.0035
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,19,20.0031
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,23,20.0045
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,25,20.0053
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,40,20.0119
battery_trajectory,gpfp_asap_block,ext2-synthetic-smoke-v1:segment:0:3:scale:1:resampled:60000000000ns,1,a29e7aad9b00789dd853b42ba5fab3d91903a9173f4cd4f2ed3cbb4cb1e2598f,SIM_PASS_OBSERVED,50,20.021900000000002
