input_trace_hash,output_trace_hash,operation,policy,scale,input_total_energy_j,output_total_energy_j,difference_j,rounding_bound_j,status
96b6cdb549f12001632d66b6248ec1a58fa0e159a7cea4752ab977d5eb3ec77d,d90e898d30e6bd04ce8f8403e2d03f32d06e008f05b5e4907b3ab11f01457a05,EXACT_SCALE,,1,420,420,0,0,EXACT_SCALE_RECORDED
d90e898d30e6bd04ce8f8403e2d03f32d06e008f05b5e4907b3ab11f01457a05,039c201a3a2c58f5bfc1420907b7532715561f33ecc3e9756753f6ea9d3bf008,RESAMPLE,exact_subdivision,,420,420,0,0,EXACT_ENERGY_CONSERVED
