taskset_id,U_norm,E0,analysis_variant,analysis_id,solver_status,certification_status,wall_clock_runtime_seconds,cpu_runtime_seconds,timeout,numeric_error,internal_conformance_failure
v93-u0-e0-t00-ba6fa39928a7,0.2,0,CW_D,e1e82680172a0cb765b05ce4ebf1cd77a89f12c0e476913ae80507bbc71dd6f3,NO_CANDIDATE,NOT_CERTIFIED,0.195616076,0.191430875,False,False,False
v93-u0-e0-t00-ba6fa39928a7,0.2,0,LOC_D,e2d6a0f8f978dc80e03caf62d7bfc5cff8af06998229aa6d7edfe7fed8c65e01,NO_CANDIDATE,NOT_CERTIFIED,0.205155590,0.200303473,False,False,False
v93-u0-e0-t00-ba6fa39928a7,0.2,0,CW_THETA_CW,aebfab7cf4449fe1571132288d5d6f5a55b47f6297c8a21ea62616617a3cf662,NO_CANDIDATE,NOT_CERTIFIED,0.204499539,0.198202790,False,False,False
v93-u0-e0-t00-ba6fa39928a7,0.2,0,LOC_THETA_CW,39ab14e2b0dafdfd47dd4752bad8936394e42ec35d0a45d2ee17dc164e1dacfc,NOT_APPLICABLE_DEPENDENCY,NOT_APPLICABLE,0.004923581,0.001400190,False,False,False
v93-u0-e0-t00-ba6fa39928a7,0.2,0,LOC_THETA_LOC,ffc26672fee8bfa9aef129ad0cafc88321c1e178aa4d0d6f643130022d34a984,NO_CANDIDATE,NOT_CERTIFIED,0.204485624,0.200379598,False,False,False
v93-u0-e0-t01-c1c7923b4577,0.2,0,CW_D,160a3f2665270b86ad177d192ce8f7a9c0a02f2e0457dc7640d7e00ec8b5d622,NO_CANDIDATE,NOT_CERTIFIED,0.227061572,0.222063125,False,False,False
v93-u0-e0-t01-c1c7923b4577,0.2,0,LOC_D,d839cf4c8597182dae680f346a2ddc2aafb9ed1e60658fa1b1be96f751df3a17,NO_CANDIDATE,NOT_CERTIFIED,0.227746202,0.223233127,False,False,False
v93-u0-e0-t01-c1c7923b4577,0.2,0,CW_THETA_CW,3a5aad3ee19794ff87f1621e72e9f3167ceea9c33dafcf2ac9b9ccb90038021e,NO_CANDIDATE,NOT_CERTIFIED,0.233790455,0.229961418,False,False,False
v93-u0-e0-t01-c1c7923b4577,0.2,0,LOC_THETA_CW,a3689d3b8a17cbf012c4894441cc5e1dd76a6f69ae0aa9d213fea627eb8ae7d9,NOT_APPLICABLE_DEPENDENCY,NOT_APPLICABLE,0.006892416,0.002283828,False,False,False
v93-u0-e0-t01-c1c7923b4577,0.2,0,LOC_THETA_LOC,8c51bb721c5822b9b5256234e3f2122a8043fa4aad5e3f265be94749f95981d6,NO_CANDIDATE,NOT_CERTIFIED,0.228023368,0.224047765,False,False,False
v93-u0-e0-t02-f9923e163823,0.2,0,CW_D,f6873accef99674163e7bae3eb5387748c6bbcfc2d244f5fc06bc54d29a9536c,NO_CANDIDATE,NOT_CERTIFIED,0.455315364,0.450517656,False,False,False
v93-u0-e0-t02-f9923e163823,0.2,0,LOC_D,11e2c2f7a7d27b97a11de2d0c292c6760650549d04e57790f2dda70154fcee88,NO_CANDIDATE,NOT_CERTIFIED,0.457582696,0.453334939,False,False,False
v93-u0-e0-t02-f9923e163823,0.2,0,CW_THETA_CW,772587b0a602b59c6269bfacaa287c96dc6777fd83738526288f65f7b105dc4d,NO_CANDIDATE,NOT_CERTIFIED,0.466256776,0.462079381,False,False,False
v93-u0-e0-t02-f9923e163823,0.2,0,LOC_THETA_CW,384f7ea683abd859efc484fc3502e758651f800d120e9b0722895421422659ec,NOT_APPLICABLE_DEPENDENCY,NOT_APPLICABLE,0.006585963,0.002654281,False,False,False
v93-u0-e0-t02-f9923e163823,0.2,0,LOC_THETA_LOC,f8bdd3d603e34a8a4c9f47175182cfae27adc77c26fd3f55b0c9bc8cf5fb1455,NO_CANDIDATE,NOT_CERTIFIED,0.462332368,0.458486881,False,False,False
v93-u0-e0-t03-b6e8dd9e81b4,0.2,0,CW_D,254b685225fbdf5fda31a978001c1929df822a8e5360d42cfd0913cfe18b685e,NO_CANDIDATE,NOT_CERTIFIED,0.228327610,0.224239820,False,False,False
v93-u0-e0-t03-b6e8dd9e81b4,0.2,0,LOC_D,720412b04693f87f58d9293a0b0d9e04dab9767d313333c2e9f910b528cfe2ab,NO_CANDIDATE,NOT_CERTIFIED,0.219889359,0.216003577,False,False,False
v93-u0-e0-t03-b6e8dd9e81b4,0.2,0,CW_THETA_CW,04683a3a66a9f97de8591e6c5a2fe90b20a879d6c12c412d9aa1c12d99d34988,NO_CANDIDATE,NOT_CERTIFIED,0.227310793,0.222751546,False,False,False
v93-u0-e0-t03-b6e8dd9e81b4,0.2,0,LOC_THETA_CW,e6e7545cc0e7102d83cdf7527bef7b645eb7ffa22706d4fe35efc19e7433aa32,NOT_APPLICABLE_DEPENDENCY,NOT_APPLICABLE,0.005493913,0.001547429,False,False,False
v93-u0-e0-t03-b6e8dd9e81b4,0.2,0,LOC_THETA_LOC,ec44f1a6ab947403f2fabd14a4862a9254e7b0239c2354525efade20c7034c8f,NO_CANDIDATE,NOT_CERTIFIED,0.227680365,0.223484347,False,False,False
v93-u0-e0-t04-2fe262efcc3c,0.2,0,CW_D,dedf198f167dd710efb50e941eaa820f035f54f69581faa2ae951a4be8719bed,NO_CANDIDATE,NOT_CERTIFIED,0.181306910,0.174296288,False,False,False
v93-u0-e0-t04-2fe262efcc3c,0.2,0,LOC_D,5142e41f61c0e5a5c3b48af26cfb60fecd7e8866976c7e1aa2feac9353e6a6c9,NO_CANDIDATE,NOT_CERTIFIED,0.177295376,0.172527941,False,False,False
v93-u0-e0-t04-2fe262efcc3c,0.2,0,CW_THETA_CW,8f382d0b795f94fe93dc2b9c6a386a8ada2dfae71c312106c4cf6b028452df41,NO_CANDIDATE,NOT_CERTIFIED,0.170721270,0.167001724,False,False,False
v93-u0-e0-t04-2fe262efcc3c,0.2,0,LOC_THETA_CW,c37fae2c764522a90fc90d351bdd1256725dc9dd2d3bd6e8a3dbbf743d8e6f1b,NOT_APPLICABLE_DEPENDENCY,NOT_APPLICABLE,0.005120335,0.001553601,False,False,False
v93-u0-e0-t04-2fe262efcc3c,0.2,0,LOC_THETA_LOC,fad38f7a1fad7dfb4317a381fba337d8ff10351f1cbf79dbb0a03f401cd3e04f,NO_CANDIDATE,NOT_CERTIFIED,0.172718249,0.168515077,False,False,False
v93-u0-e0-t05-c0a787fff951,0.2,0,CW_D,a243359c74bdd2ec205983fe6e61826bac2153be88f9e45d0958559b1fdfadf3,NO_CANDIDATE,NOT_CERTIFIED,0.503705084,0.499011215,False,False,False
v93-u0-e0-t05-c0a787fff951,0.2,0,LOC_D,f6ecf1ce2e6f6fd41367f1947c3c77cbe073e6e7f73234b9ab7e8cd5defb7756,NO_CANDIDATE,NOT_CERTIFIED,0.443316111,0.437506628,False,False,False
v93-u0-e0-t05-c0a787fff951,0.2,0,CW_THETA_CW,6da9e4bcfd87304a34a7ca447aaf21c2d7a42f8cdf0f972331048811ebbb59d8,NO_CANDIDATE,NOT_CERTIFIED,0.459509603,0.454366412,False,False,False
v93-u0-e0-t05-c0a787fff951,0.2,0,LOC_THETA_CW,13b041677336688655b847d704d09dcf8ed0e8b0bb9b3d1527ec9fce37083f87,NOT_APPLICABLE_DEPENDENCY,NOT_APPLICABLE,0.007442546,0.001991553,False,False,False
v93-u0-e0-t05-c0a787fff951,0.2,0,LOC_THETA_LOC,5a609ea9f7b8955d84f793ac76b31033fa49f99eae705528ef3e6de5b7b13858,NO_CANDIDATE,NOT_CERTIFIED,0.433007748,0.428642698,False,False,False
v93-u0-e0-t06-31157518f037,0.2,0,CW_D,a6de4d06269399c7e5eb8753722f1db5de845f7ec66807ad05efccf2f33558f6,NO_CANDIDATE,NOT_CERTIFIED,0.189434886,0.185181485,False,False,False
v93-u0-e0-t06-31157518f037,0.2,0,LOC_D,5ee648e2e3e0a93cb0ed9f20e51b5941a74347e12b4993998c47a8c67be17c8c,NO_CANDIDATE,NOT_CERTIFIED,0.190730483,0.186706571,False,False,False
v93-u0-e0-t06-31157518f037,0.2,0,CW_THETA_CW,d7ceead3ef4ccdd720ff5c39a54bbd5b27ba47252eeb9210e3474b2b13f54895,NO_CANDIDATE,NOT_CERTIFIED,0.191458922,0.187268568,False,False,False
v93-u0-e0-t06-31157518f037,0.2,0,LOC_THETA_CW,b6e5a8fa17ed9940952ec01a8ac7c6f1741b8527227a95b885830c096b778ea8,NOT_APPLICABLE_DEPENDENCY,NOT_APPLICABLE,0.005423173,0.001628994,False,False,False
v93-u0-e0-t06-31157518f037,0.2,0,LOC_THETA_LOC,c5e3e0e23a1be80a827ea6ad661bc1d5cbfece7332d0f6de24b70c063ceaee97,NO_CANDIDATE,NOT_CERTIFIED,0.195115977,0.189111057,False,False,False
v93-u0-e0-t07-8539441f9c62,0.2,0,CW_D,f14ca9772536ada731032d29e378b343712b911be981709fd7d32e44c11f46e7,NO_CANDIDATE,NOT_CERTIFIED,0.138377961,0.133144992,False,False,False
v93-u0-e0-t07-8539441f9c62,0.2,0,LOC_D,2241532206e7627ef12eecc059899d4bf63db900868450c941cdb529c97a21fa,NO_CANDIDATE,NOT_CERTIFIED,0.131962314,0.127641510,False,False,False
v93-u0-e0-t07-8539441f9c62,0.2,0,CW_THETA_CW,ef36704d572b580a1673912926608082701fb0ed77fc24b3ee533aa3026eb8f5,NO_CANDIDATE,NOT_CERTIFIED,0.135242985,0.129384966,False,False,False
v93-u0-e0-t07-8539441f9c62,0.2,0,LOC_THETA_CW,ea9c605bfd368b552ef052f900f9b6d7e3ca0bf4be9389f6e25897c31c36dfe1,NOT_APPLICABLE_DEPENDENCY,NOT_APPLICABLE,0.005103973,0.001640075,False,False,False
v93-u0-e0-t07-8539441f9c62,0.2,0,LOC_THETA_LOC,69006a215a62a10f2e8e62c9ca668467a0962a67565792b46bb47872628d847c,NO_CANDIDATE,NOT_CERTIFIED,0.133357895,0.129391547,False,False,False
v93-u0-e0-t08-dca9b9e27cf3,0.2,0,CW_D,380e02ad7d0378518d25228f393074028c3584a38013db6fb68aec28de94f688,NO_CANDIDATE,NOT_CERTIFIED,0.253303212,0.248737431,False,False,False
v93-u0-e0-t08-dca9b9e27cf3,0.2,0,LOC_D,0ff1679eec3fb54ab9001c8afcb3ecb80c4202cadf7ab139cf8968523c6f8e73,NO_CANDIDATE,NOT_CERTIFIED,0.250061075,0.245647869,False,False,False
v93-u0-e0-t08-dca9b9e27cf3,0.2,0,CW_THETA_CW,ec982f3f961aabe188a7e666ddb879dfeb873619a70b4447c6db8546f647cbe0,NO_CANDIDATE,NOT_CERTIFIED,0.274600772,0.269631864,False,False,False
v93-u0-e0-t08-dca9b9e27cf3,0.2,0,LOC_THETA_CW,398672186246d258cd6b1e5a261ca3f48c83c95fdf98eeb7aead0ebf52c23afa,NOT_APPLICABLE_DEPENDENCY,NOT_APPLICABLE,0.006812796,0.001691853,False,False,False
v93-u0-e0-t08-dca9b9e27cf3,0.2,0,LOC_THETA_LOC,d5419206d1e35d7a2c5d980e933ee3ac4ddc10745763f1eb45802fc42d885bcf,NO_CANDIDATE,NOT_CERTIFIED,0.263799156,0.258069501,False,False,False
v93-u0-e0-t09-6ba3650dc497,0.2,0,CW_D,f0ae60fd22b8f2692771c956588a813364195a5eecfa637e86743ba15b2682e7,NO_CANDIDATE,NOT_CERTIFIED,0.386646606,0.381922590,False,False,False
v93-u0-e0-t09-6ba3650dc497,0.2,0,LOC_D,4231d34afa6ae0f0c55cd0a8e17ab7acd7511c24926a36fd08a7c65ed1009d16,NO_CANDIDATE,NOT_CERTIFIED,0.380279381,0.375312080,False,False,False
v93-u0-e0-t09-6ba3650dc497,0.2,0,CW_THETA_CW,26307013e43d7524f7fdbafd2263c4e766095cba359b2d63143d8c72492ec2f4,NO_CANDIDATE,NOT_CERTIFIED,0.412966601,0.408901332,False,False,False
v93-u0-e0-t09-6ba3650dc497,0.2,0,LOC_THETA_CW,1c057e697265299f1a1bb9de44d79da2729d56d14d223f85b5615f040b99b5c2,NOT_APPLICABLE_DEPENDENCY,NOT_APPLICABLE,0.007268244,0.002155244,False,False,False
v93-u0-e0-t09-6ba3650dc497,0.2,0,LOC_THETA_LOC,0bdb35e1268c5ffd37449110d3049250bd93c9028888cb13dce35d870b3d90c8,NO_CANDIDATE,NOT_CERTIFIED,0.398614495,0.393764988,False,False,False
v93-u0-e1-t00-f8b4c71f0699,0.2,1,CW_D,701f9695e340840e8ce49b0a774c64ede43868c749abbc1edacc0e292c1dad86,COMPLETED,CERTIFIED_TASKSET,1.015783595,1.009880952,False,False,False
v93-u0-e1-t00-f8b4c71f0699,0.2,1,LOC_D,29296dffa15ff5f239c541773a219772bfc2218bfd1047c76f65e5a6c083a992,COMPLETED,CERTIFIED_TASKSET,1.021779126,1.017384562,False,False,False
v93-u0-e1-t00-f8b4c71f0699,0.2,1,CW_THETA_CW,654ed3ac578fa3bb53539756b82fb3fe5fbf648b4ad4fc937c88a61a993e2368,COMPLETED,CERTIFIED_TASKSET,0.683296123,0.677744103,False,False,False
