cell_id,taskset_id,exact_e0,relation,left_variant,right_variant,dominance_expected,common_candidate_task_count,tighter_count,equal_count,violation_count,mean_reduction,median_reduction,max_reduction,mean_normalized_reduction,left_status,right_status,left_certified,right_certified,certification_gain,certification_loss
3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,1,LOC_D_VS_CW_D,CW_D,LOC_D,True,9,0,9,0,0.0,0.0,0,0.0,NO_CANDIDATE,NO_CANDIDATE,False,False,0,0
4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,21473099401200000281/200000000000000000000,LOC_D_VS_CW_D,CW_D,LOC_D,True,7,0,7,0,0.0,0.0,0,0.0,NO_CANDIDATE,NO_CANDIDATE,False,False,0,0
506891d1344fa94834843cfbbb32e95b8b91f650453800f6563edf816bbe153f,v93-5ae59c98f2-t00001-79e06ae2e5a4,21473099401200000281/200000000000000000000,LOC_D_VS_CW_D,CW_D,LOC_D,True,9,0,9,0,0.0,0.0,0,0.0,NO_CANDIDATE,NO_CANDIDATE,False,False,0,0
79e346429e97862e2fc551460aba56a6765c1e421544f98ab074a013da9d9214,v93-21471487b7-t00001-5f2d8a968c46,1,LOC_D_VS_CW_D,CW_D,LOC_D,True,10,0,10,0,0.0,0.0,0,0.0,COMPLETED,COMPLETED,True,True,0,0
95bd8075f55bf21925d3c6c016b7ce52b1e24e3dad75e410403f9f01f501cd34,v93-21471487b7-t00001-5f2d8a968c46,21473099401200000281/200000000000000000000,LOC_D_VS_CW_D,CW_D,LOC_D,True,10,0,10,0,0.0,0.0,0,0.0,COMPLETED,COMPLETED,True,True,0,0
d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,1,LOC_D_VS_CW_D,CW_D,LOC_D,True,7,0,7,0,0.0,0.0,0,0.0,NO_CANDIDATE,NO_CANDIDATE,False,False,0,0
3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,1,LOC_THETA_CW_VS_CW_THETA_CW,CW_THETA_CW,LOC_THETA_CW,True,0,0,0,0,,,,,NO_CANDIDATE,NOT_APPLICABLE_DEPENDENCY,False,False,0,0
4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,21473099401200000281/200000000000000000000,LOC_THETA_CW_VS_CW_THETA_CW,CW_THETA_CW,LOC_THETA_CW,True,0,0,0,0,,,,,NO_CANDIDATE,NOT_APPLICABLE_DEPENDENCY,False,False,0,0
506891d1344fa94834843cfbbb32e95b8b91f650453800f6563edf816bbe153f,v93-5ae59c98f2-t00001-79e06ae2e5a4,21473099401200000281/200000000000000000000,LOC_THETA_CW_VS_CW_THETA_CW,CW_THETA_CW,LOC_THETA_CW,True,0,0,0,0,,,,,NO_CANDIDATE,NOT_APPLICABLE_DEPENDENCY,False,False,0,0
79e346429e97862e2fc551460aba56a6765c1e421544f98ab074a013da9d9214,v93-21471487b7-t00001-5f2d8a968c46,1,LOC_THETA_CW_VS_CW_THETA_CW,CW_THETA_CW,LOC_THETA_CW,True,10,0,10,0,0.0,0.0,0,0.0,COMPLETED,COMPLETED,True,True,0,0
95bd8075f55bf21925d3c6c016b7ce52b1e24e3dad75e410403f9f01f501cd34,v93-21471487b7-t00001-5f2d8a968c46,21473099401200000281/200000000000000000000,LOC_THETA_CW_VS_CW_THETA_CW,CW_THETA_CW,LOC_THETA_CW,True,10,0,10,0,0.0,0.0,0,0.0,COMPLETED,COMPLETED,True,True,0,0
d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,1,LOC_THETA_CW_VS_CW_THETA_CW,CW_THETA_CW,LOC_THETA_CW,True,0,0,0,0,,,,,NO_CANDIDATE,NOT_APPLICABLE_DEPENDENCY,False,False,0,0
3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,1,LOC_THETA_LOC_VS_CW_THETA_CW,CW_THETA_CW,LOC_THETA_LOC,True,9,0,9,0,0.0,0.0,0,0.0,NO_CANDIDATE,NO_CANDIDATE,False,False,0,0
4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,21473099401200000281/200000000000000000000,LOC_THETA_LOC_VS_CW_THETA_CW,CW_THETA_CW,LOC_THETA_LOC,True,7,0,7,0,0.0,0.0,0,0.0,NO_CANDIDATE,NO_CANDIDATE,False,False,0,0
506891d1344fa94834843cfbbb32e95b8b91f650453800f6563edf816bbe153f,v93-5ae59c98f2-t00001-79e06ae2e5a4,21473099401200000281/200000000000000000000,LOC_THETA_LOC_VS_CW_THETA_CW,CW_THETA_CW,LOC_THETA_LOC,True,9,0,9,0,0.0,0.0,0,0.0,NO_CANDIDATE,NO_CANDIDATE,False,False,0,0
79e346429e97862e2fc551460aba56a6765c1e421544f98ab074a013da9d9214,v93-21471487b7-t00001-5f2d8a968c46,1,LOC_THETA_LOC_VS_CW_THETA_CW,CW_THETA_CW,LOC_THETA_LOC,True,10,0,10,0,0.0,0.0,0,0.0,COMPLETED,COMPLETED,True,True,0,0
95bd8075f55bf21925d3c6c016b7ce52b1e24e3dad75e410403f9f01f501cd34,v93-21471487b7-t00001-5f2d8a968c46,21473099401200000281/200000000000000000000,LOC_THETA_LOC_VS_CW_THETA_CW,CW_THETA_CW,LOC_THETA_LOC,True,10,0,10,0,0.0,0.0,0,0.0,COMPLETED,COMPLETED,True,True,0,0
d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,1,LOC_THETA_LOC_VS_CW_THETA_CW,CW_THETA_CW,LOC_THETA_LOC,True,7,0,7,0,0.0,0.0,0,0.0,NO_CANDIDATE,NO_CANDIDATE,False,False,0,0
3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,1,CW_THETA_CW_VS_CW_D,CW_D,CW_THETA_CW,False,9,4,5,0,3.7777777777777777,0.0,17,0.07936678052253177,NO_CANDIDATE,NO_CANDIDATE,False,False,0,0
4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,21473099401200000281/200000000000000000000,CW_THETA_CW_VS_CW_D,CW_D,CW_THETA_CW,False,7,1,6,0,0.2857142857142857,0.0,2,0.004842615012106538,NO_CANDIDATE,NO_CANDIDATE,False,False,0,0
506891d1344fa94834843cfbbb32e95b8b91f650453800f6563edf816bbe153f,v93-5ae59c98f2-t00001-79e06ae2e5a4,21473099401200000281/200000000000000000000,CW_THETA_CW_VS_CW_D,CW_D,CW_THETA_CW,False,9,4,5,0,3.7777777777777777,0.0,17,0.07936678052253177,NO_CANDIDATE,NO_CANDIDATE,False,False,0,0
79e346429e97862e2fc551460aba56a6765c1e421544f98ab074a013da9d9214,v93-21471487b7-t00001-5f2d8a968c46,1,CW_THETA_CW_VS_CW_D,CW_D,CW_THETA_CW,False,10,3,7,0,0.3,0.0,1,0.013059947299077734,COMPLETED,COMPLETED,True,True,0,0
95bd8075f55bf21925d3c6c016b7ce52b1e24e3dad75e410403f9f01f501cd34,v93-21471487b7-t00001-5f2d8a968c46,21473099401200000281/200000000000000000000,CW_THETA_CW_VS_CW_D,CW_D,CW_THETA_CW,False,10,3,7,0,0.3,0.0,1,0.013059947299077734,COMPLETED,COMPLETED,True,True,0,0
d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,1,CW_THETA_CW_VS_CW_D,CW_D,CW_THETA_CW,False,7,1,6,0,0.2857142857142857,0.0,2,0.004842615012106538,NO_CANDIDATE,NO_CANDIDATE,False,False,0,0
3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,1,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,False,9,4,5,0,3.7777777777777777,0.0,17,0.07936678052253177,NO_CANDIDATE,NO_CANDIDATE,False,False,0,0
4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,21473099401200000281/200000000000000000000,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,False,7,1,6,0,0.2857142857142857,0.0,2,0.004842615012106538,NO_CANDIDATE,NO_CANDIDATE,False,False,0,0
506891d1344fa94834843cfbbb32e95b8b91f650453800f6563edf816bbe153f,v93-5ae59c98f2-t00001-79e06ae2e5a4,21473099401200000281/200000000000000000000,LOC_THETA_LOC_VS_LOC_D,LOC_D,LOC_THETA_LOC,False,9,4,5,0,3.7777777777777777,0.0,17,0.07936678052253177,NO_CANDIDATE,NO_CANDIDATE,False,False,0,0
