analysis_id,request_id,cell_id,taskset_id,taskset_hash,generation_seed,M,task_n,utilization,exact_e0,deadline_mode,analysis_variant,method_role,solver_status,certification_status,taskset_proven,first_failed_priority,n_tasks_total,n_tasks_evaluated,n_tasks_candidate_found,n_tasks_certified,source_analysis_id,source_vector_hash,target_carry_in_vector_hash,dependency_check_status,fixed_carry_in_interface_status,dominance_invariant_status,dominance_violation_count,diagnostic_mode,final_attempt_id,attempt_count,timeout_budget_seconds,runtime_wall_seconds,runtime_cpu_seconds,worker_startup_seconds,serialization_seconds,ipc_seconds,outer_timeout,terminal_origin
448b1baee707af545ef7ead7a06dc295c514710efc60335bcc6f543a37802475,b0b54a7cbac47a9937dc75cfb59fe1f1ade44075302a9604f03263f3180b943f,506891d1344fa94834843cfbbb32e95b8b91f650453800f6563edf816bbe153f,v93-5ae59c98f2-t00001-79e06ae2e5a4,79e06ae2e5a4227b6796f7fe36913aee04a8941436b9eb8361b8b716a943943f,2014539790,4,10,2/5,21473099401200000281/200000000000000000000,constrained,CW_THETA_CW,MAIN_METHOD,NO_CANDIDATE,NOT_CERTIFIED,False,9,10,10,9,0,,,,NOT_CHECKED,NOT_APPLICABLE,NOT_CHECKED,0,False,b7a7f18fe7f92b99eff1f703ae301d19384215c0b73cfd8abe7403c3d543469d,1,30.0,6.025910627,5.923691301,0.088551122,0.000382216,0.010517789,False,PRODUCTION_ANALYZER
56b3feda8ad07bee174eb660efbf15b742409ca4fe4f130c285449de416e68b2,b5ae7844e945bf8961085656e96ee5bb0abc1763396663391fd3a9c3a30fa0b3,506891d1344fa94834843cfbbb32e95b8b91f650453800f6563edf816bbe153f,v93-5ae59c98f2-t00001-79e06ae2e5a4,79e06ae2e5a4227b6796f7fe36913aee04a8941436b9eb8361b8b716a943943f,2014539790,4,10,2/5,21473099401200000281/200000000000000000000,constrained,LOC_THETA_CW,AUXILIARY_ABLATION,NOT_APPLICABLE_DEPENDENCY,NOT_APPLICABLE,False,,10,0,0,0,448b1baee707af545ef7ead7a06dc295c514710efc60335bcc6f543a37802475,,,INVALID,ACTIVE,NOT_APPLICABLE,0,False,50eb5c1107e9748b0e2b5d383c026f4965032074d5ca7cba4d79403ddad51102,1,30.0,0.101270945,0.000705700,0.088062133,0.000194169,0.009631608,False,PRODUCTION_ANALYZER
645fefe23f1e38d0467b6f7807079697000dc4dd2704440a6953509054b8b673,034196c3985b36e55ea6de4f78371476ed4e5c7c53267b91d282ecb570011dd6,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,79e06ae2e5a4227b6796f7fe36913aee04a8941436b9eb8361b8b716a943943f,2014539790,4,10,2/5,1,constrained,CW_THETA_CW,MAIN_METHOD,NO_CANDIDATE,NOT_CERTIFIED,False,9,10,10,9,0,,,,NOT_CHECKED,NOT_APPLICABLE,NOT_CHECKED,0,False,361a18a97e29f0e45373d74bc6cc74ca6cf7ddc254f688b19885acd3de7b6240,1,30.0,6.236149429,6.132087793,0.090194985,0.000539505,0.010387595,False,PRODUCTION_ANALYZER
6739b7b24ab98c44fbb2c182514bf4607c25cce32c7c55f1af7ffc09064e4452,d3d32c82ce2fdf741bf92956089d46c9e9dc804d4f28d8ba364198bacbec3c39,79e346429e97862e2fc551460aba56a6765c1e421544f98ab074a013da9d9214,v93-21471487b7-t00001-5f2d8a968c46,5f2d8a968c4639ceab44e93f5b32c59722c31080f188686f91ad7504ca89f810,1241746954,4,10,1/5,1,constrained,LOC_THETA_CW,AUXILIARY_ABLATION,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,38b17fa328801189b5e8a8f44eb4ad09db458ca2d4ce1cf92505cfed48cd2044,735616528e17d48d02b26324847acdf6ade33e8aeda9b66a45fbe66872edf5fa,735616528e17d48d02b26324847acdf6ade33e8aeda9b66a45fbe66872edf5fa,VALID,ACTIVE,SATISFIED,0,False,bc5a5f718cb7245f819494dc16841d8ee8cd93b4435a121c8cd09c2ffedf6154,1,30.0,0.523156559,0.422464504,0.087316823,0.000687646,0.010481849,False,PRODUCTION_ANALYZER
6c59654e64cd418dbcd8f2acbbad3e9ea0db27a1d87d3b8a2fa8b5f6d9afcbe4,13d2f17fe8d085b062d3e0ba4d7e37c23ccd8858b50976b58fb3d413356dd53b,506891d1344fa94834843cfbbb32e95b8b91f650453800f6563edf816bbe153f,v93-5ae59c98f2-t00001-79e06ae2e5a4,79e06ae2e5a4227b6796f7fe36913aee04a8941436b9eb8361b8b716a943943f,2014539790,4,10,2/5,21473099401200000281/200000000000000000000,constrained,CW_D,AUXILIARY_ABLATION,NO_CANDIDATE,NOT_CERTIFIED,False,9,10,10,9,0,,9814c27c0d0d386f43ca6b97e0d7521fe017a6f03372d53c1f52092b88dee94f,,NOT_CHECKED,ACTIVE,NOT_CHECKED,0,False,b8983ab98cee4f4891f4008d00dd07586ec77f942b61c576e61eab7f5de85a41,1,30.0,6.909264995,6.805157060,0.090008686,0.000644885,0.010489262,False,PRODUCTION_ANALYZER
70188aaa414d687ddefc9a7070d4aa2acd4455344d83a03ce5ce15d6bc51867e,1c9ead0fbfab3ba1c08f565b3a11c9055b8d55c6b412caf56995553e55c0fb10,506891d1344fa94834843cfbbb32e95b8b91f650453800f6563edf816bbe153f,v93-5ae59c98f2-t00001-79e06ae2e5a4,79e06ae2e5a4227b6796f7fe36913aee04a8941436b9eb8361b8b716a943943f,2014539790,4,10,2/5,21473099401200000281/200000000000000000000,constrained,LOC_THETA_LOC,MAIN_METHOD,NO_CANDIDATE,NOT_CERTIFIED,False,9,10,10,9,0,448b1baee707af545ef7ead7a06dc295c514710efc60335bcc6f543a37802475,,,NOT_CHECKED,NOT_APPLICABLE,NOT_CHECKED,0,False,b68a81b02bdf1a765b2d7c656187cd26a850c605749ff1a238c71de0f907bda4,1,30.0,6.122265035,6.018405663,0.088342395,0.000441609,0.011833538,False,PRODUCTION_ANALYZER
793f6a47de3677c1789d38daa2681c998a2e1068adce45395f01e9e5eb26522c,eaa3ed74c3f3b7b9243e8d6daa6f0880969bce7da533d26c87dcecc7b3c523b5,79e346429e97862e2fc551460aba56a6765c1e421544f98ab074a013da9d9214,v93-21471487b7-t00001-5f2d8a968c46,5f2d8a968c4639ceab44e93f5b32c59722c31080f188686f91ad7504ca89f810,1241746954,4,10,1/5,1,constrained,CW_D,AUXILIARY_ABLATION,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,,7e705059e1b4cdf239e97263c638ae793ab8584a06b2250c9536836b30847bcd,,NOT_CHECKED,ACTIVE,NOT_APPLICABLE,0,False,4a9f3db25c1a578f3360ac6efe490ed054df50b6361c205fa6ec171fadd8bfb4,1,30.0,0.535247342,0.429616819,0.091043060,0.000711421,0.011899897,False,PRODUCTION_ANALYZER
7960bd7507a5722c45a504bf78b3db75d7a22d14329a3da91ad0a6c7e8f34bd6,9888f2b7a2964d887a9726f95a34492133837eb8fabc3816fb47f09d89387d9d,d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,2ccd7d77f533cf66be3b177b3c0e397dafcd4689c4601bb4410422a19033e9c8,1267133459,4,10,3/10,1,constrained,LOC_THETA_CW,AUXILIARY_ABLATION,NOT_APPLICABLE_DEPENDENCY,NOT_APPLICABLE,False,,10,0,0,0,10b5b3efaf7965446d0a8100a463e98c7683e2e52d96d1b1714a7aade1c9244e,,,INVALID,ACTIVE,NOT_APPLICABLE,0,False,d869609f7bd2c954de636add7f940d63c8e0ffd0ab98f5374c789f7e216d3d91,1,30.0,0.101420959,0.000653591,0.088281463,0.000150687,0.009553532,False,PRODUCTION_ANALYZER
864483340a6fe627ebc9b391d5bc3c95dde36d5e35b2066e346d41156e12d9f3,7ce196ff85e5149bf4b3e7e41dd5638abcd52be027ef3941e46bda1c4bdade60,79e346429e97862e2fc551460aba56a6765c1e421544f98ab074a013da9d9214,v93-21471487b7-t00001-5f2d8a968c46,5f2d8a968c4639ceab44e93f5b32c59722c31080f188686f91ad7504ca89f810,1241746954,4,10,1/5,1,constrained,LOC_THETA_LOC,MAIN_METHOD,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,38b17fa328801189b5e8a8f44eb4ad09db458ca2d4ce1cf92505cfed48cd2044,,,NOT_CHECKED,NOT_APPLICABLE,NOT_APPLICABLE,0,False,a562d57da080526a2945343dd3adc4e281f5e18d08c5406e9f9728bb9fb9d6db,1,30.0,0.524657162,0.424334716,0.087129574,0.000399880,0.009897283,False,PRODUCTION_ANALYZER
92f727fe521b31a204f25c2517c60c207e18e627c7f7896b51042267d3de837d,348261162f0256ca15c0b659ed00b196cef6410a65e8f232900e9e01a6f56646,95bd8075f55bf21925d3c6c016b7ce52b1e24e3dad75e410403f9f01f501cd34,v93-21471487b7-t00001-5f2d8a968c46,5f2d8a968c4639ceab44e93f5b32c59722c31080f188686f91ad7504ca89f810,1241746954,4,10,1/5,21473099401200000281/200000000000000000000,constrained,LOC_THETA_LOC,MAIN_METHOD,COMPLETED,CERTIFIED_TASKSET,True,,10,10,10,10,038e8ca391c1405c0d2df4ceb4f860d5af167336ec062a4d0b10c971a7bf693e,,,NOT_CHECKED,NOT_APPLICABLE,NOT_APPLICABLE,0,False,bcef7463e756a42085838ddf4ab7aa5f0730522dbe20cdecdbc2ed7b11e25400,1,30.0,0.540748814,0.423872719,0.095305912,0.000533544,0.011018325,False,PRODUCTION_ANALYZER
