attempt_id,analysis_id,attempt_number,parent_attempt_id,timeout_budget_seconds,solver_status,outer_timeout,solver_wall_seconds,solver_cpu_seconds,worker_startup_seconds,serialization_seconds,ipc_seconds,total_wall_seconds,exception_type,exception_message,traceback,started_at_utc
fae3a1e52f96ee8548f0eb9f99a4386649fc299817c77e287b6f371576d28b76,d9bc90fd33dfc1bb76a5b4dfa8157d61b847876ce24351adc622032cba6b7101,1,,30.0,NO_CANDIDATE,False,3.038108697,3.038032883,0.088916500,0.010795533,0.010745626,3.148566356,,,,2026-07-13T15:16:12.080250Z
0fdb744951f714653970ffdbd2e28878a3c7592442ba7efcd79d27f4a0bdbdb2,ccd5251a26da683f5079e75511da7f0a9bcb285293c6a0a5e1235e7ad0efc54d,1,,30.0,NO_CANDIDATE,False,2.814010609,2.813981176,0.087793974,0.002906766,0.011656709,2.916368058,,,,2026-07-13T15:16:15.239079Z
4dd1327a97cb2c6de92003942faded799e94a860c7b7f7165bb95bbfd3f8dd78,e8e93ba98aef0a2292ccccc524efcc8991f4352cea32f8bcd391cbff73e94741,1,,30.0,NOT_APPLICABLE_DEPENDENCY,False,0.000645355,0.000649434,0.087815258,0.002511350,0.010668401,0.101640364,,,,2026-07-13T15:16:18.162241Z
5bffb39938798f0a7d3537a2a98c826914059b95341caf552dba4316521847f3,082a28339f5a01b416d9e2ad14e902c90e82517ca754f8f580dffa3c9811f47c,1,,30.0,NO_CANDIDATE,False,2.834388467,2.834311597,0.096285863,0.002802722,0.011658704,2.945135756,,,,2026-07-13T15:16:18.271394Z
e852267f466b161a774c05c04aa9744f4d606128caefe09ab4e61d588e4629a2,e62bbae0a427dc087079e34f24b6f7e77f492f92e01ae25c05ef6b5f357d058e,1,,30.0,NO_CANDIDATE,False,6.826201047,6.825811849,0.089941563,0.003518672,0.010454617,6.930115899,,,,2026-07-13T15:16:21.252615Z
fd05b4b71ba609b64120be30ce0a3c6204100e0b460ed57942c9f27559e1c231,2ea911229c46497e6ad80f512f0ae56e8286b537fc6eae0b88b152b520cfd78d,1,,30.0,NO_CANDIDATE,False,6.943144320,6.942486652,0.086720175,0.007951251,0.010381243,7.048196989,,,,2026-07-13T15:16:28.190491Z
361a18a97e29f0e45373d74bc6cc74ca6cf7ddc254f688b19885acd3de7b6240,645fefe23f1e38d0467b6f7807079697000dc4dd2704440a6953509054b8b673,1,,30.0,NO_CANDIDATE,False,6.132212920,6.132087793,0.090194985,0.003353929,0.010387595,6.236149429,,,,2026-07-13T15:16:35.245891Z
d08c290201513b54fc8a67396c9db7c6a4c3c15bd55be5bdf61e24230223bd01,004b9256c907af0de6c783f772215ad2f3c989d06ad45d8e1c10bfc965f9ff8b,1,,30.0,NOT_APPLICABLE_DEPENDENCY,False,0.000643071,0.000645937,0.089159609,0.002945304,0.011614249,0.104362233,,,,2026-07-13T15:16:41.489695Z
2f669e00f38953b9da78918f5af366608352a34dfa863f19e7a6711656862c41,f9889d6a9ff24e9dd5f195319103ca9f4244623049ad3fd344d811ace547555c,1,,30.0,NO_CANDIDATE,False,6.072323538,6.071512863,0.087286300,0.008113779,0.012273318,6.179996935,,,,2026-07-13T15:16:41.600853Z
b8983ab98cee4f4891f4008d00dd07586ec77f942b61c576e61eab7f5de85a41,6c59654e64cd418dbcd8f2acbbad3e9ea0db27a1d87d3b8a2fa8b5f6d9afcbe4,1,,30.0,NO_CANDIDATE,False,6.805474068,6.805157060,0.090008686,0.003292979,0.010489262,6.909264995,,,,2026-07-13T15:16:47.824091Z
b3f24bfb010f8255505445b9c189e6290c65d804e4c49bba4685a5f77452afc6,093d441ea7ffd42098d38a45451e995cfd608d52e4199dfbb2ae03a8b755f63d,1,,30.0,NO_CANDIDATE,False,6.965442438,6.964979882,0.086204621,0.002467436,0.011530120,7.065644615,,,,2026-07-13T15:16:54.740614Z
b7a7f18fe7f92b99eff1f703ae301d19384215c0b73cfd8abe7403c3d543469d,448b1baee707af545ef7ead7a06dc295c514710efc60335bcc6f543a37802475,1,,30.0,NO_CANDIDATE,False,5.923905149,5.923691301,0.088551122,0.002936567,0.010517789,6.025910627,,,,2026-07-13T15:17:01.813110Z
50eb5c1107e9748b0e2b5d383c026f4965032074d5ca7cba4d79403ddad51102,56b3feda8ad07bee174eb660efbf15b742409ca4fe4f130c285449de416e68b2,1,,30.0,NOT_APPLICABLE_DEPENDENCY,False,0.000701352,0.000705700,0.088062133,0.002875852,0.009631608,0.101270945,,,,2026-07-13T15:17:07.845825Z
b68a81b02bdf1a765b2d7c656187cd26a850c605749ff1a238c71de0f907bda4,70188aaa414d687ddefc9a7070d4aa2acd4455344d83a03ce5ce15d6bc51867e,1,,30.0,NO_CANDIDATE,False,6.019258971,6.018405663,0.088342395,0.002830131,0.011833538,6.122265035,,,,2026-07-13T15:17:07.954326Z
