analysis_id,cell_id,taskset_id,target_variant,source_analysis_id,source_variant,source_certified,dependency_check_status,source_taskset_hash,target_taskset_hash,source_e0,target_e0,source_numerical_mode,target_numerical_mode,source_vector_hash,target_vector_hash,applicable,fallback_used
6739b7b24ab98c44fbb2c182514bf4607c25cce32c7c55f1af7ffc09064e4452,79e346429e97862e2fc551460aba56a6765c1e421544f98ab074a013da9d9214,v93-21471487b7-t00001-5f2d8a968c46,LOC_THETA_CW,38b17fa328801189b5e8a8f44eb4ad09db458ca2d4ce1cf92505cfed48cd2044,CW_THETA_CW,True,VALID,5f2d8a968c4639ceab44e93f5b32c59722c31080f188686f91ad7504ca89f810,5f2d8a968c4639ceab44e93f5b32c59722c31080f188686f91ad7504ca89f810,1,1,EXACT_RATIONAL,EXACT_RATIONAL,735616528e17d48d02b26324847acdf6ade33e8aeda9b66a45fbe66872edf5fa,735616528e17d48d02b26324847acdf6ade33e8aeda9b66a45fbe66872edf5fa,True,False
f6efc1042e0026286b24d1ea362889eed4453451011532f2e3b1f6156c4cdefb,95bd8075f55bf21925d3c6c016b7ce52b1e24e3dad75e410403f9f01f501cd34,v93-21471487b7-t00001-5f2d8a968c46,LOC_THETA_CW,038e8ca391c1405c0d2df4ceb4f860d5af167336ec062a4d0b10c971a7bf693e,CW_THETA_CW,True,VALID,5f2d8a968c4639ceab44e93f5b32c59722c31080f188686f91ad7504ca89f810,5f2d8a968c4639ceab44e93f5b32c59722c31080f188686f91ad7504ca89f810,21473099401200000281/200000000000000000000,21473099401200000281/200000000000000000000,EXACT_RATIONAL,EXACT_RATIONAL,735616528e17d48d02b26324847acdf6ade33e8aeda9b66a45fbe66872edf5fa,735616528e17d48d02b26324847acdf6ade33e8aeda9b66a45fbe66872edf5fa,True,False
7960bd7507a5722c45a504bf78b3db75d7a22d14329a3da91ad0a6c7e8f34bd6,d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,LOC_THETA_CW,10b5b3efaf7965446d0a8100a463e98c7683e2e52d96d1b1714a7aade1c9244e,CW_THETA_CW,False,INVALID,2ccd7d77f533cf66be3b177b3c0e397dafcd4689c4601bb4410422a19033e9c8,2ccd7d77f533cf66be3b177b3c0e397dafcd4689c4601bb4410422a19033e9c8,1,1,EXACT_RATIONAL,EXACT_RATIONAL,,,False,False
e8e93ba98aef0a2292ccccc524efcc8991f4352cea32f8bcd391cbff73e94741,4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,LOC_THETA_CW,ccd5251a26da683f5079e75511da7f0a9bcb285293c6a0a5e1235e7ad0efc54d,CW_THETA_CW,False,INVALID,2ccd7d77f533cf66be3b177b3c0e397dafcd4689c4601bb4410422a19033e9c8,2ccd7d77f533cf66be3b177b3c0e397dafcd4689c4601bb4410422a19033e9c8,21473099401200000281/200000000000000000000,21473099401200000281/200000000000000000000,EXACT_RATIONAL,EXACT_RATIONAL,,,False,False
004b9256c907af0de6c783f772215ad2f3c989d06ad45d8e1c10bfc965f9ff8b,3dcad6f9d2161e9dcc2e6111388712cf626d31bc2dd1ed446488a6e6ac0d7ad5,v93-5ae59c98f2-t00001-79e06ae2e5a4,LOC_THETA_CW,645fefe23f1e38d0467b6f7807079697000dc4dd2704440a6953509054b8b673,CW_THETA_CW,False,INVALID,79e06ae2e5a4227b6796f7fe36913aee04a8941436b9eb8361b8b716a943943f,79e06ae2e5a4227b6796f7fe36913aee04a8941436b9eb8361b8b716a943943f,1,1,EXACT_RATIONAL,EXACT_RATIONAL,,,False,False
56b3feda8ad07bee174eb660efbf15b742409ca4fe4f130c285449de416e68b2,506891d1344fa94834843cfbbb32e95b8b91f650453800f6563edf816bbe153f,v93-5ae59c98f2-t00001-79e06ae2e5a4,LOC_THETA_CW,448b1baee707af545ef7ead7a06dc295c514710efc60335bcc6f543a37802475,CW_THETA_CW,False,INVALID,79e06ae2e5a4227b6796f7fe36913aee04a8941436b9eb8361b8b716a943943f,79e06ae2e5a4227b6796f7fe36913aee04a8941436b9eb8361b8b716a943943f,21473099401200000281/200000000000000000000,21473099401200000281/200000000000000000000,EXACT_RATIONAL,EXACT_RATIONAL,,,False,False
