cell_id,taskset_id,exact_e0,relation,left_variant,right_variant,task_id,priority_rank,left_candidate,right_candidate,reduction,status
95bd8075f55bf21925d3c6c016b7ce52b1e24e3dad75e410403f9f01f501cd34,v93-21471487b7-t00001-5f2d8a968c46,21473099401200000281/200000000000000000000,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,9,9,21,21,0,EQUAL
d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,0,0,4,4,0,EQUAL
d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,1,1,8,8,0,EQUAL
d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,2,2,4,4,0,EQUAL
d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,3,3,23,23,0,EQUAL
d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,4,4,18,18,0,EQUAL
d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,5,5,9,9,0,EQUAL
d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,1,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,6,6,59,59,0,EQUAL
d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,1,LOCAL_VS_COMPLETE_FIXED_CW,CW_THETA_CW,LOC_THETA_CW,,,,,,NOT_APPLICABLE
d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,0,0,4,4,0,EQUAL
d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,1,1,8,8,0,EQUAL
d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,2,2,4,4,0,EQUAL
d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,3,3,23,23,0,EQUAL
d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,4,4,18,18,0,EQUAL
d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,5,5,9,9,0,EQUAL
d93f24e09475a68c00cbf9c7eaf3d6821502176adb3db76f05e0832cdceb292b,v93-cfffce69e8-t00001-2ccd7d77f533,1,LOCAL_RECURSIVE_VS_COMPLETE_RECURSIVE,CW_THETA_CW,LOC_THETA_LOC,6,6,57,57,0,EQUAL
4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,21473099401200000281/200000000000000000000,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,0,0,4,4,0,EQUAL
4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,21473099401200000281/200000000000000000000,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,1,1,8,8,0,EQUAL
4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,21473099401200000281/200000000000000000000,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,2,2,4,4,0,EQUAL
4c2026d7e41a7fc826b6051a9f377988686907cca9ae778da934dbe9d6d13fa4,v93-cfffce69e8-t00001-2ccd7d77f533,21473099401200000281/200000000000000000000,LOCAL_VS_COMPLETE_DEADLINE,CW_D,LOC_D,3,3,23,23,0,EQUAL
